year,host_work_id,host_regime,issue_status,frontispiece_status,design_id,assertion_status,evidence_basis,key_anchor,notes
1723,work.weigel-wappenkalender,annual_calendar,expected_issue,unknown,,unresolved,institutional_catalogue,"BSB Geneal. 46-1723; bsb10428125","Series opening year; front matter still unclassified."
1724,work.weigel-wappenkalender,annual_calendar,issue,different_event_frontispiece,,established,market_catalogue,"antiquarian complete-copy description","Reported Gedenckwürdigkeiten des 1722ten Jahres; negative control for later programme."
1725,work.weigel-wappenkalender,annual_calendar,issue,title_copper_identity_unresolved,,unresolved,mixed,"BSB bsb10428127; Hirsch 1930 item 71","Critical programme-adoption test; title copper presence established, identity open."
1726,work.weigel-wappenkalender,annual_calendar,issue,historia_programme_type_A,design.historia-genealogia-heraldica.type-a-tree,established,market_catalogue,"Auction Imperia lot 1","Direct photographed host/design pairing."
1727,work.weigel-wappenkalender,annual_calendar,issue,frontispiece_unreported_in_incomplete_copy,,unresolved,institutional_catalogue,"BSB/HEIDI; Katalog 37","Incomplete-copy description cannot settle original frontispiece configuration."
1728,work.weigel-wappenkalender,annual_calendar,issue,historia_programme_type_A,design.historia-genealogia-heraldica.type-a-tree,established,primary_direct,"ULB urn:nbn:de:hbz:061:1-621323","Direct institutional image."
1729,work.weigel-wappenkalender,annual_calendar,expected_issue,unknown,,unresolved,institutional_catalogue,"BSB/DNB serial coverage","Inspect only if a new image becomes relevant."
1730,work.weigel-wappenkalender,annual_calendar,expected_issue,unknown,,unresolved,institutional_catalogue,"BSB serial coverage","Unclassified."
1731,work.weigel-wappenkalender,annual_calendar,issue,unknown,,unresolved,institutional_catalogue,"BSB bsb10428133; HAB copy","Copy provenance controlled; frontispiece unclassified."
1732,work.weigel-wappenkalender,annual_calendar,issue,engraved_frontispiece_identity_unchecked,,unresolved,institutional_catalogue,"BSB bsb11304570; Katalog 37","Frontispiece reported; composition unclassified."
1733,work.weigel-wappenkalender,annual_calendar,issue,historia_programme_type_A,design.historia-genealogia-heraldica.type-a-tree,established,primary_direct,"ULB urn:nbn:de:hbz:061:1-621333","Direct institutional image."
1734,work.weigel-wappenkalender,annual_calendar,issue,engraved_frontispiece_identity_unchecked,,unresolved,market_catalogue,"Kiefer auction copy","Frontispiece reported."
1735,work.weigel-wappenkalender,annual_calendar,issue,engraved_frontispiece_identity_unchecked,,unresolved,market_catalogue,"Venator & Hanstein lot 96; BSB","Frontispiece reported/tipped in gutter in one copy."
1736,work.weigel-wappenkalender,annual_calendar,issue,historia_programme_type_A,design.historia-genealogia-heraldica.type-a-tree,established,mixed,"BSB bsb10428137; Graphem/ZVAB 041089","Photographed opening promotes 1736 to direct design control."
1737,work.weigel-wappenkalender,annual_calendar,issue,type_A_detached_host_probable,design.historia-genealogia-heraldica.type-a-tree,probable,market_catalogue,"AbeBooks 30036579591","Design secure; exact original host pairing remains probable because impression is detached."
1738,work.weigel-wappenkalender,annual_calendar,issue,historia_programme_type_A,design.historia-genealogia-heraldica.type-a-tree,established,primary_direct,"ULB urn:nbn:de:hbz:061:1-621373","Direct Type A; another copy lacks frontispiece/flyleaves."
1739,work.weigel-wappenkalender,annual_calendar,issue,muller_tyroff_signature_design_unresolved,,unresolved,institutional_catalogue,"catalogue reading G. Müller del. / M. Tyroff sc.","Decisive Type-B-entry test after direct Type A in 1738."
1740,work.weigel-wappenkalender,annual_calendar,issue,probable_type_B,design.historia-genealogia-heraldica.type-b-muller-tyroff,probable,institutional_catalogue,"British Museum 1910,0906.2","Tyroff after Müller, approx. 198 x 115 mm; direct design comparison still required."
1741,work.weigel-wappenkalender,annual_calendar,issue,engraved_frontispiece_reported,,unresolved,market_catalogue,"antiquarian copy","Composition unclassified."
1742,work.weigel-wappenkalender,annual_calendar,issue,engraved_frontispiece_reported,,unresolved,mixed,"BSB; antiquarian copy","Composition unclassified."
1743,work.weigel-wappenkalender,annual_calendar,issue,unknown,,unresolved,institutional_catalogue,"BSB/ZVAB trace","Unclassified."
1744,work.weigel-wappenkalender,annual_calendar,issue,historia_programme_type_B,design.historia-genealogia-heraldica.type-b-muller-tyroff,established,primary_direct,"ULB urn:nbn:de:hbz:061:1-621634","Direct image; signatures G. Müller del. / M. Tyroff sc."
1745,work.weigel-wappenkalender,annual_calendar,issue,engraved_frontispiece_reported,,unresolved,mixed,"BSB; Booklooker/Kiefer","Composition unclassified."
1746,work.weigel-wappenkalender,annual_calendar,issue,historia_programme_type_B,design.historia-genealogia-heraldica.type-b-muller-tyroff,established,market_catalogue,"Ricardo photographed copy","Direct host/design pairing."
1747,work.weigel-wappenkalender,annual_calendar,issue,historia_programme_type_C,design.historia-genealogia-heraldica.type-c-seated-historia,established,market_catalogue,"Kiefer 2023 lot 855 / VeryImportantLot 897409","Archived thumbnail structurally fixes B→C design replacement at 1746/1747; too small for matrix/signature work."
1748,work.weigel-wappenkalender,annual_calendar,issue,historia_programme_type_C,design.historia-genealogia-heraldica.type-c-seated-historia,established,primary_direct,"ULB urn:nbn:de:hbz:061:1-621735","Direct institutional image."
1749,work.weigel-wappenkalender,annual_calendar,issue,historia_programme_type_C,design.historia-genealogia-heraldica.type-c-seated-historia,established,market_catalogue,"ZVAB/AbeBooks 30661122268","Photographed host/design pairing; image too small for matrix claims."
1750,work.weigel-wappenkalender,annual_calendar,expected_issue,unknown,,unresolved,institutional_catalogue,"BSB serial coverage","Unclassified."
