list_no,signature,title,date,place,publisher_or_imprint,agent_signal,comparison_tags,evidence_status,source_id,normalisation_note
1,"Merkel D 8041","Biblia Ectypa. Bildnußen auß Heiliger Schrifft deß Alt- und Neuen Testaments","1695","Augsburg","Weigel","Christoph Weigel","biblical_image_series;frontispiece;serial_images","reported_correspondence","source.mail.gnm-library-2026-04-22","Catalogue-derived holding; inspect front matter before analytical use"
2,"Merkel D 7155","Ethica Naturalis Seu Documenta Moralia","ca. 1700",,"Weigel","Christoph Weigel; engravings reported after Jan and Kasper Luiken","natural_history;emblem;morals;comparison","reported_correspondence","source.mail.gnm-library-2026-04-22","Potential control case for visual comparison"
3,"Merkel D 7140","Vollkommene Wieder-Herstellung der gründlich- u. zierlichen Schreib-Kunst","ca. 1716","Nürnberg",,"Christoph Weigel","writing;instruction;visual_procedure","reported_correspondence","source.mail.gnm-library-2026-04-22","Catalogue title supplied by GNM"
4,"Merkel D 7001","Sacra Scriptura Loquens In Imaginibus","1695","Nürnberg","Weigel","Christoph Weigel","biblical_image_series;miniature_format;serial_images","reported_correspondence","source.mail.gnm-library-2026-04-22","48° format may be useful for scale/use comparison"
5,"4° V. 329","Abbildung und Beschreibung derer sämtlichen Schmeltz-Hütten-Beamten und Bedienten","1721","Nürnberg","Weigel","Christoph Weigel","professions;mining;classification","reported_correspondence","source.mail.gnm-library-2026-04-22","Bound-with item"
6,"2° Rl. 362 i [2]","Historiae Celebriores Novi Testamenti Iconibus Repræsentatæ","1708?","Nürnberg","Weigel; Endter [Herstellung]","Christoph Weigel","biblical_image_series;memory;serial_images","reported_correspondence","source.mail.gnm-library-2026-04-22","Date supplied in brackets by catalogue"
7,"2° Rl. 362 i [1]","Historiae Celebriores Veteris Testamenti Iconibus Repræsentatæ","1708?","Nürnberg","Weigel; Endter [Herstellung]","Christoph Weigel","biblical_image_series;memory;serial_images","reported_correspondence","source.mail.gnm-library-2026-04-22","Date supplied in brackets by catalogue"
8,"4° V. 329","Abbildung und Beschreibung derer sämtlichen Berg-Wercks-Beamten und Bedienten","1721","Nürnberg","Weigel","Christoph Weigel","professions;mining;classification","reported_correspondence","source.mail.gnm-library-2026-04-22","25 copper plates reported; bound-with item"
9,"Merkel D 795","Die Welt in einer Nuß oder Die Historien vom Anfang Der Welt","ca. 1700","Nürnberg",,"Christoph Weigel","history;chronology;mnemonic_compression","reported_correspondence","source.mail.gnm-library-2026-04-22","High-priority comparison case for compressed historical ordering"
10,"4° Lr 170/2","Neu-eröffnete Welt-Galleria","1703","Nürnberg","Weigel","Abraham a S. Clara; Christoph Weigel; after Caspar Luyken","costume;social_orders;classification","reported_correspondence","source.mail.gnm-library-2026-04-22","One of two GNM copies/list positions"
11,"4° Lr 170/1","Neu-eröffnete Welt-Galleria","1703","Nürnberg","Weigel","Abraham a S. Clara; Christoph Weigel; after Caspar Luyken","costume;social_orders;classification","reported_correspondence","source.mail.gnm-library-2026-04-22","Second GNM copy/list position; preserve separately"
12,"8° Kd 197/88","Abbildung der gemein-nützlichen Haupt-Stände","1977","Dortmund","Harenberg","Christoff Weigel; modern reprint","professions;reprint;reception","reported_correspondence","source.mail.gnm-library-2026-04-22","Modern reprint; contextual/reception only"
13,"8° Rl. 360","Biblia Ectypa: Bildnüssen auss Heiliger Schrifft dess Neuen Testaments",,"Regensburg","Weigel","Christoph Weigel","biblical_image_series;serial_images","reported_correspondence","source.mail.gnm-library-2026-04-22","Date unresolved in supplied list"
14,"8° Rl. 3072 ft","Passio Domini nostri Iesu Christi; Neo-coelatis iconibus expressa","1693","Augsburg","Weigel","Johann Jacob von Sandrart; Christoph Weigel","religious_images;engraving;publication_network","reported_correspondence","source.mail.gnm-library-2026-04-22","Title page missing in GNM copy per supplied catalogue note"
15,"2° G. 586","Gedächtnuß-hülffliche Bilder-Lust der merckwürdigsten Begebenheiten des 1697ten Jahrs","1697","Nürnberg?","Tauber?","Chr. Weigel excudit","history;annual;memory;chronology","reported_correspondence","source.mail.gnm-library-2026-04-22","High-priority comparison: annual historical memory aid"
16,"2° G. 586","Gedächtnuß-hülffliche Bilder-Lust der merckwürdigsten Begebenheiten des 1696ten Jahrs","1696","Nürnberg?","Tauber? or Weigel?","Chr. Weigel excudit","history;annual;memory;chronology","reported_correspondence","source.mail.gnm-library-2026-04-22","Publisher uncertain in catalogue; preserve uncertainty"
17,"2° G. 586","Sculptura Historiarum Et Temporum Memoratrix","1698","Nürnberg","Tauber","Gregor Andreas Schmidt; Christoph Weigel","history;chronology;memory;visual_order","reported_correspondence","source.mail.gnm-library-2026-04-22","High-priority control for visualised historical memory and order"
