maker,dates,nuremberg_role,object_or_series,date,documented_function,relationship_to_core,evidence_strength,source_url,notes
Andreas Nunzer,1696-1754,"Nuremberg copper engraver","Neu-eröffneter Historischer Bilder-Saal, vol. 9","1735","engraved frontispiece and numerous historical illustrations","direct Bilder-Saal production","high","https://katalog.cbvk.cz/arl-cbvk/cs/detail-cbvk_us_cat-0713639-Des-Neueroffneten-Historischen-BilderSaals-Neunter-Theil/","Library collation identifies frontispiece signed A. Nunzer sculp. Norib. and many signed in-text engravings. A modern legal-history study independently identifies the Reichskammergericht illustration as a commission for this volume."
Johann Michael Stock,1737-1773,"Nuremberg-born engraver active there before 1764","Neu-eröffneter Historischer Bilder-Saal, vol. 13","1762","engraved title/frontispiece","direct Bilder-Saal production during Gatterer's early Göttingen phase","high","https://dewiki.de/Lexikon/Neuer%C3%B6ffneter_Historischer_Bildersaal","The vol. 13 engraved title is securely attributed to Stock. Treat biographical overlap with Gatterer as context only unless direct contact emerges."
Paul Küffner,1713-1786,"Nuremberg engraver specializing especially in scripts/maps","Gatterer, Historia genealogica dominorum Holzschuherorum","1754-1755","engraved documentary plates reproducing charters, handwriting and seals","direct Gatterer production; visual evidence","high","https://onlinelibrary.wiley.com/doi/10.1002/bewi.2145","Plate XIII was engraved in Nuremberg in 1754. The article demonstrates that the plate was intended to carry evidentiary authority but also documents Küffner's transformations/omissions."
Martin Tyroff,1704-1759,"Nuremberg draughtsman, engraver and publisher; heraldic workshop","Gatterer, Historia genealogica dominorum Holzschuherorum","1755","heraldic/coats-of-arms plates","direct Gatterer production; genealogy/heraldry","medium-high","https://knihovna.archives.cz/arl-zao/en/csg/?key=9373030495&repo=zaorepo","Later heraldic literature attributes the coat-of-arms plates in the Holzschuher work to Tyroff; exact plate-by-plate assignment needs primary-copy verification."
Johann Michael Seligmann,1720-1762,"Nuremberg engraver, art dealer and publisher","Gatterer, Historia genealogica dominorum Holzschuherorum","1755","listed among illustrators/engravers in digitized bibliographic metadata","direct Gatterer production; exact plates unresolved","medium","https://books.google.com/books?id=9drKw2Y-wO8C","Same Nuremberg printmaker also published/engraved major natural-history works. Useful evidence for a cross-disciplinary copperplate ecology, not for direct Bilder-Saal overlap."
Georg Daniel Heumann,1691-1759,"engraver associated with Nuremberg/Göttingen print culture","Gatterer, Historia genealogica dominorum Holzschuherorum","1755","listed among illustrators/engravers in digitized bibliographic metadata","direct Gatterer production; exact plates unresolved","medium","https://books.google.com/books?id=9drKw2Y-wO8C","Exact responsibility in the volume needs plate-signature verification."
Michael Rößler,18th c.,"engraver; precise Nuremberg biography to resolve","Gatterer, Historia genealogica dominorum Holzschuherorum","1755","listed among illustrators/engravers in digitized bibliographic metadata","direct Gatterer production; exact plates unresolved","medium","https://books.google.com/books?id=9drKw2Y-wO8C","Do not infer Bilder-Saal participation without a signed plate or catalogue attribution."
Johann Jacob Schwarz,18th c.,"engraver; precise workshop identity to resolve","Gatterer, Historia genealogica dominorum Holzschuherorum","1755","listed among illustrators/engravers in digitized bibliographic metadata","direct Gatterer production; exact plates unresolved","medium","https://books.google.com/books?id=9drKw2Y-wO8C","Exact plate assignments remain to be checked."
Johann Michael Seligmann / Johann Joseph Fleischmann,"1720-1762 / printer","broader Nuremberg illustrated-book ecology","natural-history and other illustrated publications","1749-1760s","engraving, publishing, intaglio/letterpress coordination","shared production ecology","contextual","https://kuscholarworks.ku.edu/bitstreams/326c8923-66a9-4aa8-a912-4c867d24059a/download","Shows that the same Nuremberg personnel and printer infrastructure handled complex illustrated works outside history. Use only to establish production ecology."
Johann Joseph Fleischmann,18th c.,"Nuremberg Senate and Chancery printer","Gatterer, Historia genealogica dominorum Holzschuherorum","1755","letterpress printer coordinating a multi-engraver historical volume","direct Gatterer production infrastructure","high","https://books.google.com/books?id=9drKw2Y-wO8C","Important because Gatterer's evidentiary system was materially assembled across letterpress and separately printed intaglio plates."
Johann Leonhard Buggel / Johann Andreas Seitz,18th c.,"Nuremberg bookseller/publisher-printer network","Neu-eröffneter Historischer Bilder-Saal, vols. 9-10 and later sequence","1735-1740s","publication and coordination of heavily engraved universal-history volumes","direct Bilder-Saal infrastructure","high","https://katalog.ub.uni-heidelberg.de/titel/1596309","No direct business link to Gatterer's 1755 Fleischmann production has yet been established in this sweep."
