year,series_phase,title_family,publisher_or_imprint,production_signal,frontispiece_status,evidence_status,source_anchor,notes
1717,ostertag_calender,Genealogisch-Heraldischer Calender,"Heinrich Jonas Ostertag; printed by Johann Jacob Lotter","genealogy + heraldry + engraved arms + explanations + Stammtafeln",frontispiece_identity_unchecked,verified_catalogue,"Google Play/Google Books exact 1717 volume; later 1718 catalogue description","Earliest currently secured visible predecessor in the genealogy-heraldry calendar ecology; title already integrates births, marriages, deaths, kinship, genealogical tables and engraved arms"
1718,ostertag_calender,Genealogisch-Heraldischer Calender,"Ostertag; Johann Jacob Lotter","engraved frontispiece by Johann Matthias Steidlin; 12 monthly engravings; 35 armorial plates; folding genealogical table",frontispiece_by_steidlin_identity_unchecked,verified_catalogue,"BSB/DDB Geneal. 21-1718/19 urn:nbn:de:bvb:12-bsb10428021-4; Antiquarisch/Wend catalogue","Second of only three issues under Ostertag title according to seller bibliography; useful direct predecessor for frontispiece comparison"
1719,ostertag_calender?,Genealogisch-Heraldischer Calender,"Ostertag?",bibliographic_reference_only,unknown,unresolved,"secondary heraldic bibliography/Henning reference","Possible third issue; direct institutional copy not yet secured in current sweep"
1720,steidlin_staatscalender,Genealogisch-Heraldischer Staats-Calender,"Augsburg: Johann Matthias Steidlin; printed by Lotter","frontispiece separately indexed; monthly calendar engravings; systematic armorial explanations; genealogical sections; binder instructions",frontispiece_present_identity_unchecked,verified_primary,"UB Heidelberg digital DOI 10.11588/diglit.48534; KIT/ISSN serial record","Direct digitisation exposes frontispiece as separate front-matter unit and multiple Bericht an den Buchbinder sections; compare physical ordering to later Weigel series"
1721,steidlin_staatscalender,Genealogisch-Heraldischer Staats-Calender,"Augsburg: Steidlin","annual serial continuation",frontispiece_identity_unchecked,verified_catalogue,"DDB/BSB Geneal. 100-1721 urn:nbn:de:bvb:12-bsb10428533-6; Google Play FadAAAAAcAAJ","Digitised institutional copy secured; direct front-matter inspection pending"
1722,steidlin_staatscalender,Genealogisch-Heraldischer Staats-Calender,"Steidlin",serial_span_attested,unknown,unresolved,"ISSN span 1720-1726; secondary bibliography names 1722","No direct surviving/digitised witness secured in current pass; preserve gap rather than infer issue contents"
1723,steidlin_staatscalender,Genealogisch-Heraldischer Staats-Calender,"Steidlin","annual genealogy-heraldry calendar concurrent with first Weigel calendar",frontispiece_identity_unchecked,verified_catalogue,"UB Heidelberg/KIT serial holdings list 1723; BSB external digitisation referenced","Critical overlap year: Steidlin Staats-Calender and Weigel Geschichts-Geschlechts-und-Wappen-Calender coexist, so Weigel series is not a simple chronological successor"
1724,steidlin_staatscalender,Genealogisch-Heraldischer Staats-Calender,"Steidlin",serial_span_attested,unknown,unresolved,"ISSN span 1720-1726","Current sweep has not secured a direct 1724 Steidlin witness; compare if located with Weigel 1724 annual-event frontispiece"
1725,steidlin_staatscalender,Genealogisch-Heraldischer Staats-Calender,"Steidlin",serial_span_attested,unknown,unresolved,"ISSN span 1720-1726; secondary bibliography reports 1725","Potentially decisive competition year because Weigel 1725 is also the unresolved Clio-transition witness"
1726,steidlin_staatscalender,Genealogisch-Heraldischer Staats-Calender,"Steidlin","terminal year in authoritative serial span",frontispiece_identity_unchecked,verified_catalogue,"UB Heidelberg/KIT list 1726 as externally digitised BSB issue; ISSN 2628-4863","Critical terminal overlap with earliest currently visible Weigel target-Clio witness; direct plate/frontispiece comparison is high priority"
