record_id,author_or_group,work_or_target,edition_year,scan_state,reason,next_action,reference_url
VELLY-1755,"Paul-François Velly / Villaret / Garnier","Histoire de France depuis l'établissement de la monarchie jusqu'au règne de Louis XIV","1755-1786","edition verified; frontispiece unresolved","BnF and BSB/DDB records verify the serial edition but current catalogue metadata does not identify a frontispiece.","Inspect vol. I and transition volumes in digitized BSB/BnF copies; distinguish any royal portrait series from true frontispiece placement.","https://catalogue.bnf.fr/ark:/12148/cb31554569q"
GATTERER-1765-HANDBUCH,"Johann Christoph Gatterer","Handbuch der Universalhistorie","1765","digitized edition verified; frontispiece unresolved","DDB/BSB gives exact second revised edition and collation but no frontispiece metadata in surfaced record.","Open digitized front matter image-by-image before recording either presence or absence.","https://www.deutsche-digitale-bibliothek.de/item/KCA7TTJGBXV3R7ODHCTZDJJDCAACOES5"
SCHLOZER-1772-01,"August Ludwig Schlözer","Vorstellung seiner Universal-Historie","1772","digitized edition verified; no hard frontispiece hit yet","Kulturerbe Niedersachsen and Halle/Oldenburg digitizations verify the edition; surfaced structure/search did not produce an explicit Frontispiz record.","Inspect initial leaves in IIIF/DFG viewer; do not infer absence from catalogue silence.","https://kulturerbe.niedersachsen.de/fullscreen/isil_DE-45_urn_nbn_de_gbv_45_1-750/1/log29880/"
UNIVHIST-1736,"Sale / Psalmanazar / Bower / Shelvocke / Campbell / Swinton et al.","An universal history, from the earliest account of time","1736-1744","series verified; frontispiece unresolved","Folger describes 7 folio volumes with plates, and digitized scans exist, but current metadata does not classify a frontispiece.","Check vol. I part 1 and separately titled parts; record frontispiece only if plate position or caption warrants it.","https://catalog.folger.edu/record/868952"
UNIVHIST-1759,"collective authors of the antient/modern Universal History","The modern part of an universal history","1759-1766","series verified; frontispiece unresolved","Folger verifies 44-volume edition; a separately catalogued vol. 9 records title vignette and initials, not a frontispiece.","Sample front matter across volumes/years because plate programs may vary serially.","https://catalog.folger.edu/record/875419"
TIRABOSCHI-1772,"Girolamo Tiraboschi","Storia della letteratura italiana","1772-1782 / 1787-1794","no eighteenth-century frontispiece confirmed yet","Searches repeatedly return an author portrait antiporta only for the 1822-1826 Milan edition, which cannot be back-projected onto eighteenth-century editions.","Inspect first and second eighteenth-century editions directly; treat nineteenth-century portrait as exclusion evidence only.","https://www.firenzelibri.net/it/libro/118201/Storia-della-letteratura-italiana-del-Cav-Abate-Girolamo-Tiraboschi.aspx"
GOLDSMITH-1771,"Oliver Goldsmith","The History of England, from the Earliest Times to the Death of George II","1771","no hard frontispiece hit in catalogue-level sweep","Surfaced descriptions emphasize monarch vignettes/portraits but did not yet establish a formal frontispiece for the first edition.","Inspect digitized first London and Dublin editions separately; do not merge vignette illustration with frontispiece.",""
VOLTAIRE-1751,"Voltaire","Le Siècle de Louis XIV","1751","no hard frontispiece hit in first-pass catalogue sweep","Current first-edition descriptions did not yield an explicit frontispiece.","Check Geneva/Berlin first-edition states and later eighteenth-century illustrated editions separately.",""
GUTHRIE-ENG,"William Guthrie","English/British histories","18th century","author/work search completed; no hard frontispiece record yet","Search did not produce a sufficiently specific edition-volume-frontispiece match.","Resolve exact titles and editions from ESTC/holding catalogues before image sweep.",""
CARTE-1747,"Thomas Carte","A General History of England","1747-1755","edition-level search completed; no hard frontispiece record yet","No sufficiently specific frontispiece evidence surfaced in first pass.","Inspect first-volume front matter in digitized institutional copy and ESTC collation.",""
STUART-HIST,"John Stuart / relevant eighteenth-century British history targets","historical works","18th century","search collision / unresolved identity","Name and title searches produce ambiguous results and require tighter bibliographic disambiguation.","Resolve author-title pair before any frontispiece claim.",""
