record_id,date,host_publication,visual_unit_or_programme,technique_or_matrix_status,quantity_or_extent,production_agents,source_or_provenance_claim,controlled_relation,evidence_status,source,next_test
WVIS-001,1664,"Der americanischen Neuen Welt Beschreibung","Staden narrative text illustrations","JCB catalogues 32 as impressions from original 1557 Marburg woodblocks; Obermeier says only some/a portion of original block stock survived",32,"Winckelmann as rediscoverer/reuser; 1557 block makers unresolved here","JCB/Open Library bulk original-block claim conflicts in numerical strength with Obermeier's scholarly reconstruction","composition derivation/reuse programme controlled; at least some original-matrix reuse controlled; 32-fold same_matrix_as NOT promoted pending pairwise comparison",catalogue_matrix_claim_conflicted_by_scholarly_reconstruction,"JCB / Open Library OL33153163M; JCB 01512-5 p.142; Obermeier kunsttexte.de 3/2014 and related Staden iconography studies","build full 1557→1664 composition/matrix concordance using dimensions, lettering, defects, wear and frames; trace JCB note to Wegner/Fouquet/JCB catalogue authorities"
WVIS-002,1664,"Der americanischen Neuen Welt Beschreibung","reported altered-name impressions","corresponding 1557/1664 images with reported name difference; physical same-matrix status still to be re-proved item by item",2,"unresolved","JCB/Open Library says names present in original woodcuts eliminated in 1664 pp.168 and 179","name/state difference is catalogue-controlled; same physical matrix and alteration mechanism remain unresolved",verified_catalogue_name_difference_matrix_identity_unverified,"JCB / Open Library edition notes","recover exact 1557/1664 pairs; verify same block before diagnosing cuts/plugging/masking/selective inking"
WVIS-003,1664,"Der americanischen Neuen Welt Beschreibung","non-Staden text blocks retrospectively included in 34-block claim","non-Staden image/matrix provenance",2,"unresolved","1664 pp.18 and 74 definitely not from Staden original, despite Winckelmann p.136 claim all 34 were made at Staden's instigation","programme/provenance claim collapses distinct visual origins",verified_catalogue_provenance_exception,"JCB / Open Library edition notes","identify source/publication/matrix ancestry of pp.18 and 74"
WVIS-004,1664,"Der americanischen Neuen Welt Beschreibung","added folded illustrated title page","separate threshold engraving/illustrated plate",1,"creator unresolved in current sweep","scenes from life of Columbus; navigational/geographic iconography","threshold apparatus materially separate from Staden-derived text illustration ecology",verified_catalogue_object,"JCB record 01512-1 / IA/Open Library","recover signature/engraver/designer and compare threshold programme with text illustration ecology"
WVIS-005,1671,"Oldenburgische Friedens- und der benachbarten Oerter Kriegs-Handlungen","engraved title",copper engraving,1,"participants include Muntinck; Nutzhorn; Sandrart; I.H.S.; Lennep; P. Philip; exact plate attribution unresolved","court-historical publication apparatus","new commissioned/coordinated threshold programme",verified_institutional_collation,"Landesbibliothek Oldenburg digital object 189024","inspect title plate and signatures"
WVIS-006,1671,"Oldenburgische Friedens- und der benachbarten Oerter Kriegs-Handlungen","portrait cycle",copper engravings,24,"J. Sandrart; P. Philipp; H. van Lennep and others; exact sitter-by-sitter roles unresolved","dynastic/personnel visual programme","large new portrait apparatus; copy counts vary when author/frontispiece classified separately",verified_institutional_collation,"LB Oldenburg; Russian National Electronic Library","build sitter/engraver/source-portrait table"
WVIS-007,1671,"Oldenburgische Friedens- und der benachbarten Oerter Kriegs-Handlungen","other engraved illustrations",copper engravings,15,"H. van Lennep and others; exact division unresolved","territorial/historical/material illustration programme","umbrella catalogue class requiring functional decomposition",verified_institutional_collation,"LB Oldenburg digital object 189024","classify each illustration as city/fortress/object/heraldry/event/etc."
WVIS-008,1671,"Oldenburgische Friedens- und der benachbarten Oerter Kriegs-Handlungen","maps",copper engravings,2,"H. van Lennep and others reported; exact map-by-map attribution unresolved","territorial cartographic apparatus","cartography embedded alongside archival-documentary historical claim",verified_institutional_collation,"LB Oldenburg; Russian National Electronic Library","recover titles, signatures, scale, manuscript/survey source, insertion points, later reuse"
WVIS-009,1671,"Oldenburgische Friedens- und der benachbarten Oerter Kriegs-Handlungen","Oldenburg residence/fortress image",copperplate illustration; exact format open,1,"unresolved","official digital structure indexes Eigentliche Abbildung der Hochgräflichen Residenz Statt und Festung Oldenburg","visual object structurally embedded in first part/chapter 3 rather than generic paratext",verified_institutional_structure,"LB Oldenburg structure record 190144","recover page image/signature and test plan/view/survey source"
WVIS-010,pre-1697,"Hessian Chronicle project","planned Karten, Abbildungen u.s.w.",planned visual apparatus; unrealized/reduced,"unresolved","later ADB reconstruction says maps/illustrations were in original authorial plan","planned visual apparatus abandoned as Darmstadt court participation cooled",verified_historical_biographical_reconstruction,"ADB / Deutsche Biographie Johann Just Winckelmann","recover specific visual-plan references from Fuchs, authorial dossier, correspondence, budgets or court records; identify planned subjects and production agents"
WVIS-011,1684,"Des Oldenburgischen Wunder-Horns Ursprung ...","Horn object inspection and source criticism","direct access to material object; visual/material features used to judge source proximity","object reportedly in/at Winckelmann's home for several weeks during drawing preparation","Winckelmann; object custodians unresolved","Winckelmann argues Happel's handling of inscription/break shows author had not seen Horn; Happel acknowledges Winckelmann had rarity under his hands and best in-loco knowledge","material object access becomes explicit criterion for evaluating reported knowledge",primary_wording_via_scholarly_transcription_plus_object_history,"Winckelmann 1684 pp.4-5 through Schock; Happel 1684 response through Schock; Kjær 1995","inspect direct 1684 pages and reconstruct exact custody/drawing workflow"
WVIS-012,1684,"Des Oldenburgischen Wunder-Horns Ursprung ...","engraved Horn surrogate","engraved representation prepared after direct object access; present-object comparison shows disputed heraldic addition","1 principal Horn representation; exact total plate census unresolved","Winckelmann; draughtsman/engraver unresolved","Kjær reports Oldenburg arms/bars represented in Winckelmann image although absent on surviving Horn","object-based epistemic authority does not guarantee surrogate fidelity; cause of discrepancy unresolved",verified_scholarly_object_comparison_primary_plate_uninspected,"Kjær, Heraldisk Tidsskrift 72 (1995); LB Oldenburg edition control","inspect 1684 engraving directly against present Horn and earlier image traditions; identify signature and whether disputed arms integral to plate"
WVIS-013,1696,"Museum Regium","Oldenburg Horn Tab. XVI","copperplate in royal collection catalogue; reported by Kjær as apparently derived from Winckelmann 1684 visual model",1,"Holger Jacobaeus catalogue context; engraver unresolved","Cornu Oldenburgicum; later object/cabinet representation","possible derivative surrogate transmission from 1684 into collection catalogue; textual dependence not inferred because Jacobaeus could inspect object in Copenhagen",verified_plate_presence_reported_derivation,"Museum Regium 1696 p.59 / Tab.XVI via BHL/Alvin; Kjær 1995","directly compare 1684 and 1696 images using viewpoint, heraldry, breaks, contours and unique errors"
WVIS-014,1807-1808,"Des Knaben Wunderhorn, vol.2 threshold apparatus","Oldenburg Horn title-copper model","later literary engraved threshold image using 1684 Winckelmann representation as authoritative visual reference","1","Beneke; Jacob Grimm; Brentano; title-copper production agent to resolve","Beneke sends 'den Winkelmann' in Dec.1807 because it contains the best image; modern scholarship identifies 1684 engraving as model for 1808 title image","antiquarian object surrogate shifts function into literary threshold apparatus more than a century later",verified_correspondence_report_plus_scholarly_reuse_control,"Wunderhorn title-copper study; Greve object-history study","compare 1684 and 1808 image geometry and determine direct-copy vs selected-motif transformation"
