record_id,date,record_level,repository_or_market,shelfmark_or_id,host_or_title,collation_or_extent,sixth_part_status,source_wording_or_control,relationship_status,evidence_status,source,notes
W6P-001,1691,working_note,"Leibniz-Katalog / Gottfried Wilhelm Leibniz Bibliothek","Ms 12, 713h Bl. 93; ID 5924","promised Winkelmann works",1 page,"project component already named","H. Winkelman promittit adhuc edenda ... Ejusdem chrono<stemmato-polemografiam principum> partibus sex","controls pre-1697 six-part project architecture and chrono-stemmato-polemographic component; exact relation to later title wording still requires textual-history control",verified_primary_catalogue_transcription,"https://leibniz-katalog.bbaw.de/de/extended-search?id=5924&id_exact=true&view=list","Do not treat as proof that the exact 1697 documentary-credibility phrase already existed."
W6P-002,1697,edition_state,"Bremen / Herman Brauer","VD17 23:319408P; BSB 2 Germ.sp. 164-1","Gründliche und Warhafte Beschreibung der Fürstenthümer Hessen und Hersfeld","c.10 preliminary leaves + 600 pp.; Parts I-V continuously paginated","announced/projected, not normally published","title says composed in six parts but for the present five parts are published","standard first-edition state",verified_primary_bibliographic,"HAB WDB; Reiss & Sohn cat. 210 lot 1375; BSB/DDB; Leibniz-Katalog bibliographic note","Edition-level control must remain distinct from copy attachments."
W6P-003,1697,market_copy_description,"Bassenge auction 123","lot 216","1697 first edition host plus 184-page tail","10 Bl., 600 S., 184 S.","catalogued by Bassenge as sixth part and collapsed into 1697 host date","6 Teile in 1 Band; sixth part described as Der Hessischen Chronic ... Chrono-stemmato-et polemographiam ...","conflicts with standard edition bibliography; likely describes a composite/augmented copy rather than a six-part 1697 edition",reported_market_copy,"https://bassenge.com/kataloge/123/WB?limit=15&page=15&view=list","Direct images of attachment not recovered. Do not assign 184-page unit to 1697 without separate evidence."
W6P-004,undated,market_copy_attachment,"Antiquariat C. Dorothea Müller / ZVAB","seller inventory 9154AB","Beigabe to a 1697 copy","184 pages (statt ?)","separately described as Sechster Theil der Hessischen Chronik; without place or date","Beigebungen: Winkelmann, Johann Just. Sechster Theil der Hessischen Chronik. Ohne Ort und Jahr. 184 Seiten (statt ?).","possible same physical copy as Bassenge lot 216; copy identity unverified; relationship to 1754 open",reported_market_copy,"https://www.zvab.com/erstausgabe/Gr%C3%BCndliche-Warhafte-Beschreibung-F%C3%BCrstenth%C3%BCmer-Hessen-Hersfeld/32405480619/bd","Physical description strongly resembles Bassenge copy but same_copy_as remains only a hypothesis."
W6P-005,1754,edition_state,"ULB Sachsen-Anhalt / Kassel print","VD18 11053887; ULB AB BB 2264 (6)","Johann Just Winkelmanns Sechster Theil ...","8 unnumbered pp. + 490 pp. + 67 pp.","complete posthumous sixth part","Zeit- Stamm- Kriegs- und Regenten-Buch der Fürsten und Landgrafen zu Hessen; Aus glaubwürdigen Documenten und Scribenten ordentlich verfasset","conceptually corresponds to 1691 chrono-stemmato-polemographia vocabulary; exact manuscript/editorial transmission open",verified_primary_digital_catalogue,"https://opendata.uni-halle.de/handle/1981185920/75821 ; DOI 10.25673/73869","184-page undated attachment is not a complete copy of this edition; could be a fragment, earlier state, or later extract pending direct comparison."
W6P-006,2025,market_composite_description,"Auktionshaus Wendl, 112. Sommerauktion","lot 2610","market lot titled only as Sechster Theil but collation apparently combines host/main work and sixth part","Titel, (3), 600, 490, 67 Seiten","catalogue title compresses a larger composite object under the sixth-part label","WINKELMANN, Johann Justus. Sechster Theil ...; collation: Titel, (3), 600, 490 (geografische Beschreibungen), 67 Seiten","600-page unit strongly indicates inclusion of the 1697/1711 five-part host alongside the 490+67-page 1754 sixth part; exact edition/date of the 600-page unit and binding structure unverified",reported_market_copy,"https://auktionen.auktionshauswendl.de/de/listpage/112/143/0/bids?bidResultStatus=Unknown","Reverse catalogue-collapse example: Bassenge expands an attachment into a 1697 six-part edition claim; Wendl compresses an apparent all-parts composite under the title of the sixth part. Dealer title is not a safe bibliographic-unit identifier."
W6P-007,1701-09-23,postprint_awareness_state,"Leibniz to Nathanael von Staff / Leibniz Akademie-Ausgabe I,20","no.284; critical copy text from Kortholt 1738","Chronique de Hesse by late Winkelmann","Leibniz says he has seen one printed tome but still asks whether the work might one day appear","referent clarified by Staff reply: printed first tome is distinct from sixth book / second tome","feu Mr Winkelmann avoit composé en Allemand une Chronique de Hesse, dont j’ai vû même un Tome imprimé. N’y a-t-il pas d’esperance, que cet ouvrage paroitra un jour?","directly controls divergence between printed first-tome awareness and incomplete larger-work appearance",verified_primary_critical_edition,"Leibniz AA I,20 no.284 pp.480-481; Kortholt Epistolae 3 (1738) p.372ff.; Dutens Opera 5 (1768) p.523","Current web translation's 'unpublished volume' is erroneous; French and early prints read imprimé. Staff's contemporaneous reply directly undercuts the modern speculation that Leibniz meant volume 6."
W6P-008,1701-11-24,postprint_project_closure_state,"Nathanael von Staff to Leibniz / LBr. 888 Bl.23-24","provisional AA I,20 no.356 pp.632-633; final cross-reference no.354","first tome printed; sixth book = second tome; posthumous heirs claim","first tome copy in Staff's possession; second tome/sixth book never seen in Kassel; heirs say sixth book complete and demand a substantial sum to hand it over","Staff explicitly identifies material architecture: premier tome = printed object; 6me livre ou le second Tome = missing completion","le premier tome est imprimé dont on m’a donné un exemplaire ... le 6me livre ou le second Tome, qui n’a jamais eté veu icy ... les Heretiers ont declaré que ce livre etoit achevé et ont demandé une somme assez grande pour le remettre ... la Cour etant disgousté du premier Tome il paroit que tout sera ensevely dans l’oubly","resolves 1701 ambiguity into postprint court-reception + estate/heir-transfer bottleneck; strengthens objection to any pre-1701 normal-circulation reading of the undated 184-page attachment",verified_primary_letter_critical_edition,"Leibniz Akademie-Ausgabe I,20; Staff to Leibniz, Kassel, 24 Nov.1701; manuscript LBr.888 Bl.23-24","Court criticism has two reported components: indiscretion and insufficient solidity in first tome because key rubrics defer to missing sixth book. Do not equate these automatically with 1686 censorial categories before item-level concordance. Remettre should not yet be narrowed to modern copyright sale."
W6P-009,1702-01-14,heir_and_partial_witness_state,"Leibniz to Nathanael von Staff / LBr.888 Bl.3-4 partial concept","provisional AA I,20 no.420 pp.729-732","Leibniz-held partial Chronicle witness + author's son","Leibniz has only some beginning of Chronicle brought by Winkelmann himself to Hannover in summer 1697; son later appears with very high claims","J’ai quelque commencement de la chronique de feu Mr Winkelmann, qu’il avoit porté lui même à Hannover autrefois ... Son fils est venu un jour à Hannover ... avec de si hautes prétensions que je jugeois bien qu’on le negligeroit de cette maniere.","independent convergence with Staff's 1701 heirs + large-sum report; critical note identifies son as A. G. Winkelmann; exact object state and content of pretensions remain open",verified_primary_letter_critical_edition,"Leibniz Akademie-Ausgabe I,20 no.420 pp.729-732; editorial cross-reference dates author's Hannover delivery to summer 1697, I,14 no.473","Do not collapse quelque commencement into manuscript or print until direct object/version control. Do not equate son automatically with all heirs or high pretensions with the exact sum demanded for the sixth book."
W6P-010,1704-11-09,heir_manuscript_custody_state,"Gerhard von Mastricht to Leibniz / LBr.614 Bl.3-4","AA I,24 no.58","Anton Günther Winkelmann, son and manuscript custodian","various manuscripts in son's possession; Mastricht asks Leibniz to request communication and proposes to extract what is hidden with him","Innotuit mihi interea apud D. Winkelmannum filium esse varia Manuscripta ... si quid in forulis Dni Parentis esset aut nunc in suis ... Studebo tunc, ut ei extorqueam quae nunc apud eum latent.","critical editors identify Winkelmannum filium as Anton Günther; proves heir-side manuscript custody/access friction but not that the specific Hessian sixth book was among these manuscripts",verified_primary_letter_critical_edition,"Leibniz Akademie-Ausgabe I,24 no.58; Gerhard von Mastricht to Leibniz, Bremen, 9 Nov.1704; manuscript LBr.614 Bl.3-4","Mastricht places Anton Günther in service of Leibniz's Elector or Duke of Celle. Critical-edition introduction says this manuscript lead appears not to have generated uptake into Leibniz's Scriptores."
W6P-011,1754,reconstructed_editorial_state,"Kassel print / Rabeler-Fuchs reconstruction","VD18 11053887; BSB 2 Germ.sp. 164-2; ULB AB BB 2264 (6)","Johann Just Winkelmanns Sechster Theil ...","8 unnumbered pp. + 490 pp. + 67 pp.","sixth part printed as Winkelmann work but materially/textually reconstructed because much original manuscript was no longer findable","Rabeler citing Fuchs: sixth part was weitgehend abgeschlossen at Winkelmann's death; by 1754 a large part of the original manuscript was not findable and had to be replaced by texts of Hanau archivist Johann Adam Bernhard","stable named authorship/project identity spans a composite textual state; creates transmission gap between 1704 heir-held manuscript reservoir and 1754 partial loss/replacement","verified_scholarly_reconstruction + verified_primary_print_metadata","Peter Rabeler, Darstellungen und Wahrnehmungen einer Residenzstadt, p.472 and bibliography p.485, citing Thomas Fuchs 2002 pp.20-21,305; ULB Sachsen-Anhalt DOI 10.25673/73869","Do not infer that Bernhard wrote every non-Winkelmann passage, prepared the entire printer's copy, or was publicly named in the 1754 preliminaries until direct front-matter inspection. Completion at death is distinct from survival in 1754."
